"","Plant","VSLNumber","SampleID","Day_Initial_Actual","Spoiled20000_yn","AnyGN_yn","exceed20000byD10_yn","exceed100000postD10_yn","HigherSPC_yn","GN_AtLeast2x","spoilagetype","SPC_DI","SPC_D7","SPC_D10","SPC_D14","SPC_D17","SPC_D21","CVTA_DI","CVTA_D7","CVTA_D10","CVTA_D14","CVTA_D17","CVTA_D21","LOD_SPC_DI","LOD_SPC_D7","LOD_SPC_D10","LOD_SPC_D14","LOD_SPC_D17","LOD_SPC_D21","LOD_CVTA_DI","LOD_CVTA_D7","LOD_CVTA_D10","LOD_CVTA_D14","LOD_CVTA_D17","LOD_CVTA_D21","Plant_VSLNumber_SampleID"
"191","36-3661","471","22",3,"yes","no","no","yes","no","no","spore",70,"80","550","21000","610000","1300000",5,"5","5","20","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","belowLOD","36-3661_471_22"
"192","36-3661","471","22-1",3,"yes","no","no","no","no","no","spore",50,"2.5","90","540","2300","94000",5,"5","5","5","5","5","OK","belowLOD","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-3661_471_22-1"
"193","36-3661","471","22-2",3,"yes","yes","yes","no","yes","yes","ppc",220,"940","770000","7400000","2.9e+07","6.4e+07",5,"580","8e+05","1e+07","2.5e+07","5e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-3661_471_22-2"
"194","36-3661","471","22-3",3,"yes","yes","no","yes","yes","yes","spore",90,"50","470","82000","270000","5800000",5,"5","280","110000","120000","4400000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-3661_471_22-3"
"195","36-3661","471","22-4",3,"yes","yes","no","yes","no","yes","spore",50,"40","90","230","5300","1400000",5,"5","60","300","8200","64000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","OK","OK","36-3661_471_22-4"
"196","36-3661","471","23",3,"yes","no","no","yes","no","no","spore",90,"40","80","110","360","110000",5,"5","5","40","160","20","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","OK","OK","36-3661_471_23"
"197","36-3661","471","23-1",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",50,"50","60","70","70","5800",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-3661_471_23-1"
"198","36-3661","471","24",3,"yes","no","no","yes","no","no","spore",150,"40","140","370","1800","180000",5,"5","5","5","60","300","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-3661_471_24"
"199","36-3661","471","24-1",3,"yes","yes","yes","no","yes","yes","ppc",40,"1900","3500000","9600000","9.1e+07","8.2e+08",5,"2200","3600000","1e+07","8.4e+07","6.2e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-3661_471_24-1"
"200","36-4739","467","11",6,"yes","yes","yes","no","yes","yes","ppc",5,"NotTested","4e+05","2.6e+07","2.3e+08","2.5e+08",5,"NotTested","4e+05","2.9e+07","2.6e+08","5.6e+08","belowLOD","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","OK","OK","OK","36-4739_467_11"
"201","36-4739","467","12",3,"yes","yes","yes","no","yes","no","ppc",180,"460","820000","1000","3000","9000",5,"320","9e+05","500","5","660","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","belowLOD","OK","36-4739_467_12"
"202","36-4739","467","12-1",3,"yes","yes","yes","no","yes","yes","ppc",180,"22000","6400000","9.9e+07","1.5e+09","3.3e+09",5,"22000","5400000","8.4e+07","1.6e+09","2.9e+09","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-4739_467_12-1"
"203","36-4739","467","12-2",4,"yes","no","no","yes","no","no","spore",50,"70","60","1100","190000","9700000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_467_12-2"
"204","36-4739","467","12-3",3,"yes","no","no","yes","no","no","spore",240,"30","330","2900","8400","180000",20,"5","5","5","5","20","OK","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-4739_467_12-3"
"205","36-4739","467","13",3,"yes","yes","no","yes","no","no","spore",50,"70","10000","4e+07","1.4e+08","2.6e+08",5,"5","5","460","500","50000","OK","OK","OK","aboveLOD","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","belowLOD","36-4739_467_13"
"206","36-4739","467","13-1",3,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",80,"10","40","80","40","30",5,"5","5","5","5","2000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-4739_467_13-1"
"207","36-4739","467","13-2",4,"NotSpoiled","no","no","no","no","no","NotSpoiled",60,"20","30","10","5","5",5,"5","5","5","5","5","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_467_13-2"
"208","36-4739","467","13-3",3,"yes","no","no","yes","no","no","spore",50,"150","40","210","5800","1100000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_467_13-3"
"209","36-4739","467","14",3,"yes","yes","no","yes","no","no","spore",40,"100","6600","340000","1.8e+08","2.9e+08",100,"5","5","280","280","50000","OK","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","belowLOD","36-4739_467_14"
"210","36-4739","471","11",6,"yes","no","no","no","no","no","spore",50,"NotTested","140","100","910","60000",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_471_11"
"211","36-4739","471","12",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",140,"NotTested","60","60","40","80",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_471_12"
"212","36-4739","471","12-1",6,"yes","yes","no","yes","yes","yes","spore",30,"NotTested","60","30","4e+05","1.1e+08",5,"NotTested","5","5","4e+05","9.3e+07","OK","OK","OK","OK","aboveLOD","OK","belowLOD","OK","belowLOD","belowLOD","aboveLOD","OK","36-4739_471_12-1"
"213","36-4739","471","13",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",80,"NotTested","60","50","70","1700",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_471_13"
"214","36-4739","471","13-1",6,"yes","yes","yes","no","yes","yes","ppc",50,"NotTested","140000","1.8e+07","6.1e+07","1.4e+08",5,"NotTested","120000","1.6e+07","6.1e+07","1.3e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-4739_471_13-1"
"215","36-4739","471","14",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",70,"NotTested","30","30","20","60",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_471_14"
"216","36-4739","471","14-1",6,"NotSpoiled","no","no","no","no","no","NotSpoiled",100,"NotTested","160","430","2.5","60",5,"NotTested","5","5","5","5","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-4739_471_14-1"
"217","36-5385","466","61",1,"yes","yes","yes","no","yes","yes","ppc",180,"3900000","6.9e+07","5900000","NotTested","NotTested",20,"5500000","7.4e+07","6800000","NotTested","NotTested","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-5385_466_61"
"218","36-5385","466","62",1,"yes","yes","yes","no","yes","yes","ppc",360,"4e+07","9.5e+07","6.5e+08","NotTested","NotTested",40,"4e+07","4e+07","4.2e+08","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-5385_466_62"
"219","36-5385","466","62-1",1,"yes","yes","yes","no","yes","yes","ppc",350,"4e+07","5.3e+07","3.3e+08","NotTested","NotTested",20,"4e+07","5.8e+07","6200000","NotTested","NotTested","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","OK","36-5385_466_62-1"
"220","36-5385","466","63",1,"yes","yes","yes","no","yes","yes","ppc",590,"160000","1.8e+07","1.2e+08","NotTested","NotTested",20,"170000","2.5e+07","1.6e+08","NotTested","NotTested","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","OK","36-5385_466_63"
"221","36-5385","469","51",5,"yes","yes","yes","no","yes","yes","ppc",40,"NotTested","4e+07","2.1e+08","NotTested","NotTested",20,"NotTested","4e+07","1.9e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5385_469_51"
"222","36-5385","469","52",5,"yes","yes","yes","no","yes","yes","ppc",150,"NotTested","4e+07","3e+08","NotTested","NotTested",40,"NotTested","4e+07","3.5e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5385_469_52"
"223","36-5385","469","53",5,"yes","yes","yes","no","yes","yes","ppc",70,"NotTested","4e+07","7.6e+07","NotTested","NotTested",20,"NotTested","4e+07","7.8e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5385_469_53"
"224","36-5673","469","71",7,"yes","yes","yes","no","yes","yes","ppc",18000,"NotTested","4e+07","2e+08","NotTested","NotTested",16000,"NotTested","4e+07","1.6e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_71"
"225","36-5673","469","72",7,"yes","yes","yes","no","yes","yes","ppc",6400,"NotTested","4e+07","8.9e+07","NotTested","NotTested",7200,"NotTested","4e+07","1.7e+08","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_72"
"226","36-5673","469","73",7,"yes","yes","yes","no","yes","yes","ppc",3200,"NotTested","4e+07","6e+07","NotTested","NotTested",3000,"NotTested","4e+07","5.4e+07","NotTested","NotTested","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-5673_469_73"
"227","36-8185","471","51",3,"yes","no","no","yes","no","no","spore",110,"140","890","51000","9e+05","2200000",5,"5","5","5","20","880","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-8185_471_51"
"228","36-8185","471","51-1",3,"yes","no","no","yes","no","no","spore",180,"NotTested","1700","64000","8400000","1.1e+08",5,"NotTested","260","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","belowLOD","belowLOD","belowLOD","36-8185_471_51-1"
"229","36-8185","471","52",5,"yes","yes","yes","no","yes","yes","ppc",670,"NotTested","1700000","1700000","2.4e+07","9.1e+07",5,"NotTested","2200000","2200000","2.7e+07","9e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-8185_471_52"
"230","36-8185","471","52-1",2,"yes","yes","no","yes","no","no","spore",480,"280","470","390","240000","850000",5,"5","5","1700","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","OK","belowLOD","belowLOD","36-8185_471_52-1"
"231","36-8185","471","53",3,"yes","no","no","yes","no","no","spore",210,"100","120","430","6000","240000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8185_471_53"
"232","36-8185","471","53-1",2,"yes","yes","no","no","no","no","spore",240,"110","180","650","4200","83000",5,"5","5","5","40","2100","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","36-8185_471_53-1"
"233","36-8185","471","54",5,"yes","no","no","yes","no","no","spore",680,"NotTested","4500","4500","420000","1900000",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","36-8185_471_54"
"234","36-8185","471","54-1",6,"yes","no","no","yes","no","no","spore",380,"NotTested","310","72000","990000","5200000",5,"NotTested","5","5","500","220","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","OK","36-8185_471_54-1"
"235","36-8446","464","61",6,"yes","yes","yes","no","yes","yes","ppc",40,"7400","710000","3.6e+07","1.8e+08","3.2e+08",5,"5","4e+05","4e+07","1.9e+08","4.4e+08","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","aboveLOD","aboveLOD","OK","OK","36-8446_464_61"
"236","36-8446","464","61-1",5,"yes","yes","no","yes","yes","yes","spore",10,"140","4600","61000","940000","2100000",5,"5","4e+05","500","500","2000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","aboveLOD","belowLOD","belowLOD","OK","36-8446_464_61-1"
"237","36-8446","467","61",7,"yes","yes","no","yes","yes","yes","spore",180,"NotTested","1600","390000","5.9e+07","1.1e+08",5,"NotTested","1200","120000","8400000","8.2e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","36-8446_467_61"
"238","36-8446","467","61-1",6,"yes","yes","no","yes","yes","no","spore",40,"NotTested","50","1100","42000","1200000",5,"NotTested","5","5","20","370000","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","OK","36-8446_467_61-1"
"239","36-8446","471","41",7,"yes","yes","yes","no","yes","yes","ppc",110,"NotTested","4e+05","4e+07","1.4e+08","2.1e+08",120,"NotTested","4e+05","4e+07","1.4e+08","2.1e+08","OK","OK","aboveLOD","aboveLOD","OK","OK","OK","OK","aboveLOD","aboveLOD","OK","OK","36-8446_471_41"
"240","36-8446","471","41-1",6,"yes","yes","yes","no","yes","yes","ppc",480,"NotTested","4e+05","6.6e+07","3.3e+08","3.4e+08",380,"NotTested","4e+05","8.7e+07","2.9e+08","3.6e+08","OK","OK","aboveLOD","OK","OK","OK","OK","OK","aboveLOD","OK","OK","OK","36-8446_471_41-1"
"241","36-8832","466","51",2,"yes","yes","yes","no","yes","yes","ppc",10,"2200","4e+07","5e+05","4200000","1300000",5,"3600","4e+07","50000","50000","50000","OK","OK","aboveLOD","OK","OK","OK","belowLOD","OK","aboveLOD","belowLOD","belowLOD","belowLOD","36-8832_466_51"
"242","36-8832","466","52",2,"yes","yes","yes","no","yes","yes","ppc",30,"4e+05","2.9e+07","4.6e+08","1.2e+08","1.3e+08",5,"4e+05","3.4e+07","7.6e+08","1.4e+08","8.2e+07","OK","aboveLOD","OK","OK","OK","OK","belowLOD","aboveLOD","OK","OK","OK","OK","36-8832_466_52"
"243","36-8832","466","52-1",2,"yes","yes","no","yes","no","no","spore",20,"20","470","330000","5500000","1.2e+07",5,"5","20","5","500","50000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","belowLOD","belowLOD","belowLOD","36-8832_466_52-1"
"244","36-8832","466","53",2,"yes","no","no","yes","no","no","spore",30,"30","20","41000","2300000","2900000",5,"5","5","5","20","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","belowLOD","36-8832_466_53"
"245","36-8832","466","53-1",2,"yes","yes","no","yes","no","no","spore",20,"10","80","11000","1e+06","7400000",5,"5","5","5","5","50000","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8832_466_53-1"
"246","36-8832","466","53-2",2,"yes","no","no","yes","no","no","spore",20,"30","180","58000","2.5e+08","5600000",5,"5","5","5","500","500","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8832_466_53-2"
"247","36-8832","468","31-1",1,"NotSpoiled","no","no","no","no","no","NotSpoiled",20,"20","2.5","90","280","4500",5,"5","5","5","5","5","OK","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8832_468_31-1"
"248","36-8832","468","32",1,"NotSpoiled","no","no","no","no","no","NotSpoiled",2.5,"10","2.5","40","2300","9200",5,"5","5","5","5","5","belowLOD","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8832_468_32"
"249","36-8832","468","32-1",1,"yes","yes","no","no","yes","no","spore",5,"10","20","20","230","33000",5,"5","5","5","5","8400","belowLOD","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","OK","36-8832_468_32-1"
"250","36-8832","468","33",1,"yes","no","no","no","no","no","spore",2.5,"10","10","40","90","67000",5,"5","5","5","5","5","belowLOD","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","36-8832_468_33"
"251","42-65","470","61",3,"yes","yes","no","yes","no","yes","spore",30,"20","2300","310000","5200000","1.1e+08",5,"5","380","6500","500","3100","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","belowLOD","OK","42-65_470_61"
"252","42-65","470","62",3,"yes","yes","no","yes","yes","yes","spore",10,"450","2100","160000","6500000","4e+06",5,"340","1800","55000","3300000","50000","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","belowLOD","42-65_470_62"
"253","42-65","470","62-1",3,"yes","yes","no","yes","yes","yes","spore",10,"80","20000","8300000","2e+07","6.7e+07",5,"80","17000","1200000","2600000","2.2e+07","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","42-65_470_62-1"
"254","42-65","470","62-2",3,"yes","yes","no","yes","yes","yes","spore",20,"2.5","110","10000","9700000","1.9e+07",5,"5","5","5","190000","3.1e+07","OK","belowLOD","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","42-65_470_62-2"
"255","42-65","470","63",3,"yes","yes","yes","no","yes","yes","ppc",80,"2600","2700000","9.5e+07","8.6e+07","1.6e+08",5,"3000","3200000","1.3e+08","9.9e+07","2e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","OK","OK","OK","42-65_470_63"
"256","42-65","470","63-1",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",80,"20","60","290","110","1500",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","42-65_470_63-1"
"257","42-65","470","64",3,"yes","yes","no","yes","no","no","spore",20,"80","3600","4e+05","7e+06","1.5e+08",5,"5","780","21000","500","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","OK","OK","belowLOD","belowLOD","42-65_470_64"
"258","42-65","470","64-1",3,"NotSpoiled","no","no","no","no","no","NotSpoiled",30,"50","50","30","640","15000",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","42-65_470_64-1"
"259","50-13","464","11",5,"NotSpoiled","no","no","no","no","no","NotSpoiled",110,"NotTested","50","140","120","570",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","50-13_464_11"
"260","50-13","464","12",5,"yes","no","no","yes","no","no","spore",50,"NotTested","60","30","1200","540000",5,"NotTested","5","20","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","OK","belowLOD","belowLOD","50-13_464_12"
"261","50-13","464","12-1",5,"yes","no","no","yes","no","no","spore",20,"NotTested","80","130","3400","140000",5,"NotTested","5","5","60","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","belowLOD","50-13_464_12-1"
"262","50-13","464","13",5,"yes","yes","no","yes","yes","yes","spore",50,"NotTested","180","250000","7.7e+07","1.6e+08",5,"NotTested","140","4e+05","7.2e+07","1.6e+08","OK","OK","OK","OK","OK","OK","belowLOD","OK","OK","aboveLOD","OK","OK","50-13_464_13"
"263","50-13","464","13-1",5,"NotSpoiled","no","no","no","no","no","NotSpoiled",130,"NotTested","20","110","120","710",5,"NotTested","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","belowLOD","belowLOD","50-13_464_13-1"
"264","50-13","464","14",5,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",20,"NotTested","20","100","8000","4000",5,"NotTested","5","5","2000","500","OK","OK","OK","OK","OK","OK","belowLOD","OK","belowLOD","belowLOD","OK","belowLOD","50-13_464_14"
"265","50-13","470","21",2,"NotSpoiled","no","no","no","no","no","NotSpoiled",10,"60","10","590","10000","1700",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","50-13_470_21"
"266","50-13","470","22",2,"NotSpoiled","no","no","no","no","no","NotSpoiled",20,"30","30","190","5600","8700",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","50-13_470_22"
"267","50-13","470","22-1",2,"NotSpoiled","yes","no","no","yes","no","NotSpoiled",30,"10","2.5","50","370","7000",5,"5","5","5","20","1800","OK","OK","belowLOD","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","OK","OK","50-13_470_22-1"
"268","50-13","470","23",2,"yes","yes","yes","no","yes","no","ppc",50,"1200","4800000","500","NotTested","93000",5,"860","4800000","500","NotTested","5","OK","OK","OK","belowLOD","OK","OK","belowLOD","OK","OK","belowLOD","OK","belowLOD","50-13_470_23"
"269","50-13","470","24",2,"NotSpoiled","no","no","no","no","no","NotSpoiled",30,"20","20","30","120","2600",5,"5","5","5","5","5","OK","OK","OK","OK","OK","OK","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","belowLOD","50-13_470_24"
